"asn_number","organization_name","organization_country","rir_registry","asn_type","is_known_hosting","is_known_vpn","first_seen","last_seen","unique_ip_count","total_session_count","enrichment","enrichment_updated_at","created_at","updated_at"
206182,"Global Com Basilicata s.r.l.","IT",NULL,NULL,False,False,"2025-11-06 19:00:21.58516+00","2025-11-06 19:00:21.58516+00",0,0,"{}",NULL,"2025-11-06 19:00:21.58516+00","2025-11-06 19:00:21.58516+00"
206205,"Logica S.r.l.","IT",NULL,NULL,False,False,"2025-11-06 19:00:50.932422+00","2025-11-06 19:00:50.932422+00",0,0,"{}",NULL,"2025-11-06 19:00:50.932422+00","2025-11-06 19:00:50.932422+00"
206206,"Kurdistan Net Company for Computer and Internet Ltd.","IQ",NULL,NULL,False,False,"2025-11-06 19:01:45.78247+00","2025-11-06 19:01:45.78247+00",0,0,"{}",NULL,"2025-11-06 19:01:45.78247+00","2025-11-06 19:01:45.78247+00"
206260,"Svorka AS","NO",NULL,NULL,False,False,"2025-11-06 19:01:00.696659+00","2025-11-06 19:01:00.696659+00",0,0,"{}",NULL,"2025-11-06 19:01:00.696659+00","2025-11-06 19:01:00.696659+00"
206262,"TelKos L.L.C","XK",NULL,NULL,False,False,"2025-11-06 19:01:01.243082+00","2025-11-06 19:03:37.204558+00",0,0,"{}",NULL,"2025-11-06 19:01:01.243082+00","2025-11-06 19:03:37.204558+00"
206264,"Amarutu Technology Ltd","NL",NULL,NULL,False,False,"2025-11-06 19:01:01.284252+00","2025-11-06 19:03:28.312245+00",0,0,"{}",NULL,"2025-11-06 19:01:01.284252+00","2025-11-06 19:03:28.312245+00"
206388,"Gostaresh Ertebat Azin Kia Company PJSC","IR",NULL,NULL,False,False,"2025-11-06 19:01:18.152347+00","2025-11-06 19:01:18.152347+00",0,0,"{}",NULL,"2025-11-06 19:01:18.152347+00","2025-11-06 19:01:18.152347+00"
206448,"LLC SouthTransTelecom","RU",NULL,NULL,False,False,"2025-11-06 19:01:17.01569+00","2025-11-06 19:01:17.01569+00",0,0,"{}",NULL,"2025-11-06 19:01:17.01569+00","2025-11-06 19:01:17.01569+00"
206487,"Nexvolmar S.l.","ES",NULL,NULL,False,False,"2025-11-06 19:02:56.240329+00","2025-11-06 19:02:56.240329+00",0,0,"{}",NULL,"2025-11-06 19:02:56.240329+00","2025-11-06 19:02:56.240329+00"
206495,"Gostaresh Ertebat Azin Kia Company PJSC","IR",NULL,NULL,False,False,"2025-11-06 19:01:19.788502+00","2025-11-06 19:01:19.788502+00",0,0,"{}",NULL,"2025-11-06 19:01:19.788502+00","2025-11-06 19:01:19.788502+00"
