"attack_date","session_count","total_commands","avg_commands_per_session","total_file_downloads","total_login_attempts","total_ssh_key_injections","vt_flagged_sessions","dshield_flagged_sessions","avg_duration_seconds","command_count_stddev"
"2025-08-05","1924","1687","0.87681912681912681913","155","1705","166","0","19","6.2204989324324324","4.0977275219349261"
"2025-08-04","1901","1731","0.91057338243029984219","155","1640","188","0","22","5.8576454339821147","4.1658257205765879"
"2025-08-03","1846","2000","1.0834236186348862","174","1545","194","0","46","6.9523606868905742","4.5542292660165735"
"2025-08-02","2125","1839","0.86541176470588235294","164","1923","182","0","16","4.9730343289411765","4.1082061419388130"
"2025-08-01","1597","1643","1.0288040075140889","163","1375","166","0","11","6.5683849668127740","4.4118116562257043"
"2025-07-31","2443","1782","0.72943102742529676627","179","2159","254","0","18","6.1982436606631191","3.6651486271503949"
"2025-07-30","2587","2822","1.0908388094317743","264","2739","286","0","8","5.4150007603401624","4.5596354754413367"
"2025-07-27","287","522","1.8188153310104530","51","242","52","0","4","7.3880099825783972","5.7738796925066219"
"2025-07-26","613","640","1.0440456769983687","40","576","60","0","2","5.1381227911908646","4.6109791480544082"
"2025-07-20","2315","1755","0.75809935205183585313","172","2108","192","0","23","5.5253112280777538","3.7650611198825991"
"2025-07-19","2296","1896","0.82578397212543554007","192","2086","248","0","17","5.3912272382404181","3.8917998585400737"
"2025-07-18","2416","2952","1.2218543046357616","285","2222","294","0","14","6.5442030736754967","4.8000640994993362"
"2025-07-17","1748","1590","0.90961098398169336384","143","1520","150","0","20","6.4431059696796339","4.1513798325039053"
"2025-07-16","2033","1648","0.81062469257255287752","154","1710","162","0","47","6.3998430034431874","3.9562127525980084"
"2025-07-15","1536","1415","0.92122395833333333333","115","1373","136","0","8","5.8828870305989583","4.2579275057558847"
"2025-07-10","757","179","0.23645970937912813738","27","743","20","0","0","6.2765279379128137","1.9247324118356855"
"2025-07-09","21070","11734","0.55690555291884195539","1091","18782","610","0","105","7.4660993367821547","3.2850213165474104"
