Executing Query 13: VPN/Proxy/Tor Anonymization Analysis
Expected runtime: 10-15 seconds
======================================================================
attack_date,total_sessions,vpn_sessions,vpn_ratio,proxy_sessions,proxy_ratio,tor_sessions,tor_ratio,anonymized_sessions,anonymization_ratio,residential_count,datacenter_count,hosting_count,mobile_count,residential_ratio,datacenter_ratio
2024-12-02,1200,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-12-01,575,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-30,489,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-29,681,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-28,664,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-27,746,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-26,627,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-25,635,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-24,540,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-23,506,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-22,421,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-21,219,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-20,267,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-19,225,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-18,237,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-17,35,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-16,1725,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-15,1282,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-14,5544,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-13,6077,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2024-11-12,4878,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
