snapshot_asn,snapshot_country,snapshot_ip_type,session_count,days_active,avg_commands,avg_duration_sec,total_downloads,total_ssh_injections,asn_concentration,countries_per_asn
16735,BR,,3506,57,0.98916143753565316600,2.5885414284084427,498,1001,0.00251535687791551098,1
136284,IN,,3487,25,1.0582162317178090,3.8312861279036421,490,617,0.00250172545159480514,1
16509,US,,3474,209,0.19746689694876223374,2.3279086211859528,47,95,0.00249239868621748008,1
25820,CA,,3445,24,1.2940493468795356,4.0897799361393324,557,889,0.00247159282499113957,1
8193,UZ,,3433,35,0.96999708709583454704,3.0331796187008447,490,548,0.00246298350310437798,1
37282,NG,,3421,23,1.1163402513884829,4.1904853034200526,517,654,0.00245437418121761639,1
13649,US,,3412,16,0.78253223915592028136,1.4321672400351700,484,492,0.00244791718980254520,1
40021,US,,3383,31,0.49926101093703813184,1.7832739949748744,244,386,0.00242711132857620470,1
328198,UG,,3354,21,0.88968395945140131187,3.8812712832438879,496,650,0.00240630546734986419,1
17451,ID,,3279,39,1.3141201585849344,4.6336794159804819,506,593,0.00235249720555760426,1
18734,MX,,3245,17,1.2693374422187982,1.9408294456086287,529,773,0.00232810412687844642,1
9318,KR,,3176,110,0.97670025188916876574,3.6000895141687657,360,542,0.00227860052602956728,1
4837,CN,,3102,31,0.13313990973565441651,31.5356820428755642,32,69,0.00222550970772787081,1
139282,BD,,3081,22,1.1035378123985719,4.5922978464784161,479,713,0.00221044339442603803,1
37100,MU,,3002,21,1.0083277814790140,3.6920763427714857,471,606,0.00215376535867152424,1
150008,IN,,2956,30,1.2090663058186739,3.9084049218538566,464,470,0.00212076295810560481,1
215439,BG,,2948,22,1.1214382632293080,3.0548335732700136,438,540,0.00211502341018109709,1
8151,MX,,2918,112,1.3142563399588759,3.3941993886223441,402,501,0.00209350010546419311,1
12714,RU,,2891,33,1.4558976132826012,3.7119078021445866,484,820,0.00207412913121897954,1
3786,KR,,2874,118,0.90396659707724425887,5.0332089070981211,275,399,0.00206193259187940062,1
140469,ID,,2787,40,1.1051309651955508,3.7919368589881593,363,469,0.00199951500820037910,1
6400,DO,,2760,24,1.2510869565217391,1.9196828634057971,442,613,0.00198014403395516552,1
63949,SG,,2708,192,0.14549483013293943870,10.2043224940915805,31,48,0.00194283697244586530,1
31898,US,,2672,77,1.1489520958083832,3.2386354681886228,319,511,0.00191700900678558053,1
9430,IN,,2656,20,1.2518825301204819,4.1807252740963855,418,573,0.00190552991093656508,1
58946,BD,,2631,32,0.94222729000380083618,4.0884751938426454,375,628,0.00188759382367247844,1
45671,AU,,2586,15,1.2296983758700696,3.9167141345707657,385,562,0.00185530886659712248,1
12252,PE,,2564,44,0.99570982839313572543,2.3349263280031201,333,525,0.00183952510980472623,1
398101,US,,2528,32,1.2151898734177215,1.8886482939082278,408,486,0.00181369714414444146,1
270344,BR,,2518,26,1.0639396346306593,2.3620068752978554,396,532,0.00180652270923880681,1
37963,CN,,2471,26,0.34399028733306353703,13.2211395014164306,74,114,0.00177280286518232391,1
26496,US,,2455,36,1.1926680244399185,3.5672421653767821,375,583,0.00176132376933330846,1
8473,SE,,2400,63,1.0262500000000000,4.6861825545833333,309,374,0.00172186437735231784,1
20115,US,,2275,92,0.02857142857142857143,12.6786684527472527,4,8,0.00163218394103188462,1
38365,CN,,2268,27,0.33641975308641975309,58.4230957870370370,67,145,0.00162716183659794036,1
22884,MX,,2262,41,1.1251105216622458,1.8755613174182140,331,523,0.00162285717565455957,1
6713,MA,,2212,54,1.0565099457504521,2.6571195031645570,264,386,0.00158698500112638628,1
45090,CN,,2209,24,0.34087822544137618832,33.0664884028972386,55,97,0.00158483267065469588,1
398324,US,,2205,200,0.00000000000000000000,9.0695209133786848,0,0,0.00158196289669244202,1
17222,BR,,2151,32,1.1408647140864714,2.7072799786145979,300,404,0.00154322094820201487,1
8048,VE,,2147,94,0.63204471355379599441,7.1252977140195622,134,200,0.00154035117423976101,1
215590,LV,,2144,18,0.93750000000000000000,2.6072120410447761,315,469,0.00153819884376807061,1
5650,US,,2058,50,1.2259475218658892,2.3545194324586978,317,694,0.00147649870357961255,1
28360,BR,,2047,13,0.94040058622374206155,2.7116903160723009,286,301,0.00146860682518341443,1
18881,BR,,2038,37,1.1256133464180569,3.2698804102060844,325,383,0.00146214983376834324,1
7303,AR,,2035,91,1.0756756756756757,3.7919880604422604,232,302,0.00145999750329665284,1
4750,TH,,1997,44,1.0570856284426640,4.3815312694041062,263,324,0.00143273465065524114,1
6568,BO,,1996,53,1.0125250501002004,2.8186117469939880,206,283,0.00143201720716467767,1
13489,CO,,1966,51,1.1459816887080366,9.6906993479145473,285,458,0.00141049390244777370,1
136052,XX,,1897,49,1.0695835529783869,4.0925885840801265,204,282,0.00136099030159889456,1
41608,ES,,1888,30,1.1610169491525424,3.1283465752118644,277,254,0.00135453331018382337,1
3816,CO,,1878,47,1.0857294994675186,2.5251044813631523,238,296,0.00134735887527818871,1
8402,RU,,1834,19,0.01145038167938931298,2.6501848478735005,2,1,0.00131579136169339622,1
17726,KH,,1827,18,0.99452654625068418172,4.0630023721948550,278,397,0.00131076925725945196,1
137718,XX,,1771,25,0.32580463015245623941,63.1845802755505364,42,98,0.00127059242178789788,1
5384,AE,,1759,56,0.79647527003979533826,3.7505986435474702,226,341,0.00126198309990113629,1
9891,TH,,1740,33,1.0126436781609195,4.0960644522988506,213,295,0.00124835167358043044,1
17995,ID,,1739,28,1.0690051753881541,4.1885272409430707,254,479,0.00124763423008986697,1
45758,TH,,1709,64,1.2135751901696899,5.5293932322995904,237,496,0.00122611092537296300,1
27882,BO,,1702,41,1.4864864864864865,3.5617590393654524,244,313,0.00122108882093901874,1
12430,ES,,1682,39,1.0047562425683710,4.8878879833531510,228,372,0.00120673995112774942,1
3301,SE,,1658,124,0.60434258142340168878,9.2882827129071170,142,170,0.00118952130735422624,1
6327,CA,,1635,51,1.0281345565749235,2.2699846850152905,238,254,0.00117302010707126653,1
267575,BR,,1629,22,1.0448127685696746,2.6298060552486188,251,335,0.00116871544612788574,1
6147,PE,,1603,38,0.98128509045539613225,2.9707672320648784,205,256,0.00115006191537323563,1
134540,IN,,1599,21,1.2138836772983114,3.8561280112570356,244,439,0.00114719214141098176,1
8560,DE,,1547,46,1.1422107304460246,3.0830572747252747,193,348,0.00110988507990168154,1
203214,IQ,,1535,43,0.82214983713355048860,3.6028473198697068,205,285,0.00110127575801491995,1
23888,PK,,1534,55,0.08083441981747066493,12.1488758389830508,10,12,0.00110055831452435649,1
46606,US,,1507,43,1.1320504313205043,1.8696752455209025,154,274,0.00108118734027914291,1
38513,ID,,1506,38,1.1440903054448871,3.8144770378486056,212,219,0.00108046989678857945,1
4788,MY,,1492,97,1.1407506702412869,6.8550222828418231,182,282,0.00107042568792069093,1
3243,PT,,1487,43,1.1197041022192334,5.3667499119031607,200,379,0.00106683847046787360,1
29465,XX,,1469,31,0.49012933968686181076,8.2682583737236215,63,115,0.00105392448763773121,1
48715,IR,,1459,29,1.1315969842357779,3.1138714571624400,207,264,0.00104675005273209656,1
14593,US,,1442,25,0.63661581137309292649,10.2977251796116505,208,351,0.00103455351339251764,1
63526,BD,,1441,30,1.5170020818875781,4.6502609840388619,211,236,0.00103383606990195417,1
152826,XX,,1437,21,0.82185107863604732081,4.1648277320807237,206,229,0.00103096629593970031,1
40021,XX,,1419,15,0.83720930232558139535,2.4146755398167724,191,284,0.00101805231310955793,1
136170,ID,,1415,37,1.0664310954063604,3.7947877611307420,172,228,0.00101518253914730406,1
12479,ES,,1412,68,1.1388101983002833,3.8521771515580737,179,395,0.00101303020867561367,1
6128,US,,1396,81,0.62034383954154727794,3.6665510451289398,162,172,0.00100155111282659821,1
3269,IT,,1360,101,1.1816176470588235,8.6615576345588235,150,164,0.00097572314716631345,1
